BUSINESS NAME,BUSINESS OPEN DATE,BUSINESS STATUS,BUSINESS CLOSE DATE,NAICS CODE,NAICS CATEGORY,NAICS GROUP,FULL STREET NAME,CITY,STATE,LATITUDE,LONGITUDE
PAUL RAY KIMMONS,05/04/2015,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),BRONZEBUSH AVE,BATON ROUGE,LA,-91.067994998444,30.428229320044
SERENITY & GRACE PLACE LLC,01/02/2016,O,,813000,"Religious, Grantmaking, Civic, Professional & Similar Institutions",OTHER SERVICES (I),WOODDALE BLVD,BATON ROUGE,LA,-91.112691069686,30.463534606951
GREGORY L HELKE,12/01/2018,O,,812000,Personal & Laundry Services,OTHER SERVICES (I),OLD HAMMOND HWY,BATON ROUGE,LA,-91.045793239337,30.440644559759
CROWNE ONE INVESTMENTS LLC,02/25/2019,O,,551000,Management of Companies & Enterprises,MANAGEMENT OF COMPANIES & ENTERPRISES (I),ASHBOURNE DR,BATON ROUGE,LA,-91.056196831094,30.44610987337
VITA-ED LLC,03/01/2018,O,,611000,Educational Services,EDUCATIONAL SERVICES (I),S SHERWOOD FOREST BLVD,BATON ROUGE,LA,-91.052233073849,30.407488316582
JGP INC,07/01/2015,O,,448000,Clothing & Clothing Accessories Stores,RETAIL TRADE (G),HIGHLAND RD,BATON ROUGE,LA,-91.04286647083,30.346265122235
JGP INC,07/01/2015,O,,448000,Clothing & Clothing Accessories Stores,RETAIL TRADE (G),CORPORATE BLVD,BATON ROUGE,LA,-91.111726949642,30.432559061379
JGP INC,07/01/2015,O,,448000,Clothing & Clothing Accessories Stores,RETAIL TRADE (G),PARKRANGE AVE,BATON ROUGE,LA,-91.043428449036,30.398197145231
MINUTECLINIC DIAGNOSTIC OF LOUISIANA LLC 5374,08/23/2015,O,,621000,Ambulatory Health Care Services,HEALTH CARE & SOCIAL ASSISTANCE (I),WAX RD,BATON ROUGE,LA,-91.029410606482,30.542553264853
LION BRIGADE LLC,12/01/2018,O,,448000,Clothing & Clothing Accessories Stores,RETAIL TRADE (G),BROUSSARD ST,BATON ROUGE,LA,-91.164570273684,30.435638642499
CROSS CODING CONSULTING LLC,07/01/2014,O,,561000,Administrative & Support Services,ADMINISTRATIVE & SUPPORT SERVICES (I),BRIGHT VIEW CT,BATON ROUGE,LA,-91.024994810753,30.455330415975
YOLANDA COCKERHAM,07/01/2016,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),FINCHLEY AVE,BATON ROUGE,LA,-91.114832152594,30.443625374642
COLLEGE FRESH INC,08/15/2016,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),W LAKESHORE DR,BATON ROUGE,LA,-91.167081564177,30.41064680874
